Title,Description,Source,Keyword,PublishedAt
"Imperiled by Volcanic Eruptions, Iceland Scoops Up Answers From the Deep",,The New York Times,volcanic+eruption,30 Aug
"'Mountain of God' volcano in Tanzania is bulging, study finds",,Livescience.com,volcanic+eruption,10 days ago
Icelandic volcano eruption sends lava flowing in visual spectacle,,The Washington Post,volcanic+eruption,23 Aug
New research allows quick assessment of damage from volcanic ashfall,,Deshsewak,volcanic+eruption,10 hours ago
Mars' tallest volcano can awake after years; massive plume of magma rising beneath the surface,,Moneycontrol,volcanic+eruption,4 days ago
"Ozone layer on road to recovery despite volcano eruption, UN weather body says",,Reuters,volcanic+eruption,6 days ago
Philippines Kanlaon Volcano eruption warning forces evacuation of tourists and locals,,The Times of India,volcanic+eruption,12 days ago
"Iceland's latest volcanic eruption is decreasing in power, and defences are holding",,The Hindu,volcanic+eruption,17 Mar
Iceland’s recent volcanic eruptions driven by pooling magma are set to last centuries into the future,,The Conversation,volcanic+eruption,31 Jul
Video shows geologists collecting lava samples during Hawaii's Kilauea volcano eruption,,USA TODAY,volcanic+eruption,4 days ago
An innovative system for seeing into the bowels of a volcano,,Phys.org,volcanic+eruption,4 days ago
Philippines : Residents Evacuate as Kanlaon Volcano Emits Harmful Gases and Eruption Warning Issued,,AL24 News,volcanic+eruption,1 hour ago
Victim of Pompeii's ancient volcanic eruption found lying on bed with gold,,India Today,volcanic+eruption,13 Aug
Akshaya Patra's Lifeline: Feeding Thousands Amid Andhra Pradesh Flood Crisis,"The Akshaya Patra Foundation, guided by Chief Minister Chandrababu Naidu, provided essential food support during the Andhra Pradesh floods. With advanced kitchen facilities, they fed up to 3.3 lakh people. Meanwhile, the Indian Army and Navy executed critical flood relief operations, addressing breaches and evacuating affected residents.",Devdiscourse,flood,2024-09-09T04:18:22Z
How Army Is Plugging A 100-Metre Wide Breach In Flood-Hit Andhra City,The Indian Army is actively engaged in its Humanitarian Assistance and Disaster Relief (HADR) operations in Andhra Pradesh's Vijaywada after the Budameru rivulet breached leading to floods in the city.,NDTV News,flood,2024-09-07T03:51:40Z
Indian Navy flood relief teams rescue over 180 personnel in Andhra Pradesh,"Naval helicopters undertook extensive flying operations such as airdropping food packets, medical kits and water bottles to stranded individuals.",Devdiscourse,flood,2024-09-06T10:51:18Z
IAF Mobilizes for Massive Flood Relief in Andhra Pradesh,"The Indian Air Force deployed helicopters to provide relief material in flood-hit Andhra Pradesh. 50,000 kg of aid was distributed, while the Chief Minister urged public cooperation. The Centre also contributed resources for relief efforts.",Devdiscourse,flood,2024-09-03T15:09:35Z
Andhra: IAF carries out relief operations in flood-hit areas of Vijayawada,Indian Air Force (IAF) carried out relief operations in flood-affected areas of Andhra Pradesh's Vijayawada district on Monday.,Devdiscourse,flood,2024-09-02T17:46:39Z
Indian MSMEs losing ground as Chinese goods flood market: GTRI,"The dominance of Chinese imports is displacing local production, as over 90 per cent of the umbrellas, artificial flowers, and human hair articles used in India are sourced from China.",The Indian Express,flood,2024-09-01T22:05:00Z
Indian Army and Extra Sanitation Workers Mobilized for Gujarat Flood Relief,"The Indian Army deployed six columns for rescue operations in flood-hit Gujarat, supported by 350 sanitation workers from Surat. Amid ongoing relief efforts, Prime Minister Modi assured full support to Chief Minister Bhupendra Patel for restoring normalcy in affected regions.",Devdiscourse,flood,2024-08-30T10:55:04Z
IAF and Army Mobilize for Massive Flood Relief Operations in Gujarat,"The Indian Air Force and Army are actively conducting rescue missions in flood-hit Gujarat. In Devbhumi Dwarka, the IAF helicopter saved four lives, while six Army columns are involved in widespread relief efforts. Over 12,000 individuals have already been rescued and rehabilitation plans are underway.",Devdiscourse,flood,2024-08-29T04:31:42Z
Tripura Calls for Central Aid Amid Flood Crisis,"The Tripura government has urged the central government to dispatch an Inter-Ministerial Central Team for flood damage assessment. With the Indian Meteorological Department forecasting more rainfall, relief operations are underway. 26 people have died, and significant infrastructure damage has been reported.",Devdiscourse,flood,2024-08-26T15:01:20Z
Hidden Stories: Nissen huts - Indian Army’s gift to victims of the 1961 Pune flood,"Major Peter Norman Nissen, a Canadian-American mining engineer with the British Army, invented the Nissen huts during World War I",The Indian Express,flood,2024-08-09T18:30:00Z
"Indian Navy’s growing footprint - foreign deployment, training allied personnel, ‘backyard’ aid",The Indian Navy has come a long way since 2004 when an Indian Ocean earthquake triggered a major tsunami. It provides aid to the Indian Ocean,ThePrint,earthquake,2024-07-01T03:19:20Z
"Indian Earthquake in Toronto, D Gukesh's Win Tectonic Shift in World Chess Order: Garry Kasparov",The 17-year-old D Gukesh has bettered the record created by none other than Garry Kasparov 40 years ago.,News18,earthquake,2024-04-23T07:12:14Z
'We lost almost everything': Indians in Taiwan recall moments of horror during recent earthquake,"The earthquake, which had around 300 aftershocks, had the most impact on Hualien. An Indian student recalled that all the research work of the students got destroyed in the earthquake",Livemint,earthquake,2024-04-03T18:30:00Z
Tremor of 4.0 magnitude hits Kutch; no casualties,"“There are no damages or casualties reported of any sort due to the earthquake,” Kutch Collector Amit Arora told The Indian Express.",The Indian Express,earthquake,2024-01-28T18:54:31Z
Earthquake of magnitude 6.2 hits Southwest Indian Ridge,"According to the National Center for Seismology, the earthquake was at a depth of 10 km.",India TV News,earthquake,2024-01-21T02:06:42Z
Japan earthquake: India issues emergency contact for its citizens after tsunami alerts,"The Embassy of India in Japan has issued emergency contact numbers for Indian citizens in the archipelago following a series of powerful earthquakes in central Japan..Japan was hit by at least 21 earthquakes in a span of 90 minutes, with the most powerful measuring 7.6 on the Richter scale.",Livemint,earthquake,2023-12-31T18:30:00Z
"6.5 magnitude earthquake shakes part of Indonesia's Papua region, no immediate reports of casualties","It was the deadliest in Indonesia since a 2018 quake and tsunami in Sulawesi killed about 4,340 people.In 2004, an extremely powerful Indian Ocean quake set off a tsunami that killed more than 230,000 people in a dozen countries, most of them in Indonesias Aceh province.",Devdiscourse,earthquake,2023-12-30T18:12:57Z
Earthquake of magnitude 2.6 hits Delhi-NCR,"The tremors were recorded at 3:36 PM (Indian Standard Time), and the depth of the earthquake was stated to be 10 km beneath the surface. The location was reported as North District, Delhi by the National Center for Seismology.",Livemint,earthquake,2023-11-10T18:30:00Z
Afghanistan Hit by 2nd Earthquake in Days; Here's Why the Country Sees Frequent Tremors,"Afghanistan is frequently hit by earthquakes, especially in the Hindu Kush Mountain range as it lies near the junction of the Eurasian and Indian tectonic plates",News18,earthquake,2023-10-11T04:14:55Z
"UPSC Essentials | Weekly news express - ASEAN-INDIA Summit, Morocco earthquake, and more : Key takeaways & Points to ponder",Dive deep with The Indian Express’ UPSC weekly news express which covers some of the important topics of current affairs news from this week to help you prepare for UPSC-CSE. Try out the Points to ponder and MCQs . Check your answers provided towards the end of the article.,The Indian Express,earthquake,2023-09-10T13:02:15Z
"Indian Navy’s growing footprint - foreign deployment, training allied personnel, ‘backyard’ aid",The Indian Navy has come a long way since 2004 when an Indian Ocean earthquake triggered a major tsunami. It provides aid to the Indian Ocean,ThePrint,tsunami,2024-07-01T03:19:20Z
Earthquakes in India: The 2004 tsunami was not the first of its kind and certainly won’t be the last,"An excerpt from ‘The Rumbling Earth: The Story of Indian Earthquakes’, by CP Rajendran and Kusala Rajendran.",Scroll.in,tsunami,2024-04-08T03:00:00Z
"Climate crisis is far from “gender neutral”, WMO chief says","For example, more women than men died in the Indian Ocean Tsunami in 2004 because they were less likely to know how to swim and long clothing hampered their movement.",Devdiscourse,tsunami,2024-02-19T06:32:16Z
Japan earthquake: India issues emergency contact for its citizens after tsunami alerts,"The Embassy of India in Japan has issued emergency contact numbers for Indian citizens in the archipelago following a series of powerful earthquakes in central Japan..Japan was hit by at least 21 earthquakes in a span of 90 minutes, with the most powerful measuring 7.6 on the Richter scale.",Livemint,tsunami,2023-12-31T18:30:00Z
"6.5 magnitude earthquake shakes part of Indonesia's Papua region, no immediate reports of casualties","It was the deadliest in Indonesia since a 2018 quake and tsunami in Sulawesi killed about 4,340 people.In 2004, an extremely powerful Indian Ocean quake set off a tsunami that killed more than 230,000 people in a dozen countries, most of them in Indonesias Aceh province.",Devdiscourse,tsunami,2023-12-30T18:12:57Z
'Thick and Impenetrable': Indian Navy's 2004 Tsunami 'hero' INS Magar' retires,"125 metres long, weighing 5,600 tonnes, INS Magar, has been essential in a number of HADR operations, the most notable of which being the evacuation of more than 1,300 individuals from the tsunami-affected areas in December 2004",Firstpost,tsunami,2023-05-06T16:00:57Z
18 years of Indian Ocean Tsunami: All you need to know about deadly event,"It has been 18 years since the deadly Indian Ocean Tsunami hit the world, impacting around 15 countries",Firstpost,tsunami,2022-12-26T05:44:54Z
"World Tsunami Awareness Day 2022: History, Significance, and All You Need to Know","Every year, November 5 marks the World Tsunami Awareness Day to spread awareness about the deadly natural disaster which claimed lives over 260,000 people. According to a report by the United Nations official website, the deadly disaster of Tsunami in the Indian Ocean in December 2004 surpassed any other natural hazard which occurred in past 100 years.",News18,tsunami,2022-11-05T03:35:02Z
Anand Mahindra reacts as Starbucks names Laxman Narasimhan as CEO. Here's what he said,"What was initially a trickle of water has turned into a Tsunami, Anand Mahindra on Indian origin CEOs",Livemint,tsunami,2022-09-01T18:30:00Z
"From tsunami survivor to cycling star of many firsts, Deborah hopes ‘toxic atmosphere’ in Indian team will change",Cyclist says she'll appear for selection trials to get back into the Indian team,The Indian Express,tsunami,2022-06-15T18:29:42Z
"India’s aim not to burn like fire, but to light up like the Sun: PM Modi in New York","Referring to himself as the “first Indian PM born after independence”, Modi said, “I could not give life for swaraj (independence) but decided to dedicate my life for it.”",The Indian Express,fire,2024-09-22T21:04:43Z
Rohit Sharma almost confirms under-fire batter's place in playing XI for first Test vs Bangladesh,India skipper Rohit Sharma addressed the media ahead of the first Test of the two-match series against Bangladesh. He opened up on the competition for places in the Indian team and also spoke about the upcoming youngsters like Dhruv Jurel and Yashasvi Jaiswal among others,India TV News,fire,2024-09-16T18:30:00Z
Look before leaping into the world’s hottest stock market,Indian stocks are on fire. Investors who want to partake will need to keep a cool head as a trading frenzy and rising valuations have the potential to spoil the party.,Livemint,fire,2024-09-07T18:30:00Z
Soldier Injured After Terrorists Open Fire At Military Station In Jammu,"One Indian Army soldier was injured on Monday at Jammu's Sunjwan military station after terrorists opened fire, officials said.",NDTV News,fire,2024-09-02T06:50:34Z
"Out of Bangladesh fire, Indian students find themselves in the frying pan","Caught in Bangladesh’s turmoil, Indian students are worried about their safety and academic future. Is the search for new paths abroad their only option?",Livemint,fire,2024-08-19T18:30:00Z
Deepti Sharma's late heroics against Welsh Fire power London Spirit to The Hundred Women 2024 title,"After an impressive bowling spell, the star Indian spin all-rounder Deepti Sharma smashed a match-winning six when London Spirit needed four runs off the last three balls to beat Welsh Fire and win The Hundred Women 2024 title.",India TV News,fire,2024-08-18T16:39:14Z
"Anantnag encounter: Civilian injured in exchange of fire between army and terrorists, dies","The gunfight between terrorists and the Indian Army took place in the Ahlan area of Anantnag on Saturday where two terrorists were trapped, officials said.",India TV News,fire,2024-08-11T04:01:53Z
"Indian Army Concludes Rescue Operations in Wayanad, NDRF Takes Charge","A specialized team, including army personnel and officials, conducted a search operation in Soojippara. The Wayanad administration organized a farewell for the Indian Army after a ten-day mission. The operations will now be handled by NDRF, SDRF, Fire Force, and Kerala police as the battalion returns.",Devdiscourse,fire,2024-08-08T09:33:32Z
The debacle at Tokyo Olympics ignited a fire in Manu Bhaker: Coach Jaspal Rana | Exclusive,Manu Bhaker became the only Indian since independence to win two medals in a single edition of the Summer Games. She claimed bronze in the women's 10m air pistol and then partnered with Sarabjot Singh to bag another bronze in the 10m air pistol mixed event.,India TV News,fire,2024-08-04T02:31:11Z
"Fire Brigade, Army, NDRF, police mobilised for rescue operations as Pune gets flooded; Indian Air Force on standby",The Pune City Fire brigade rescued around 254 people and responded to a total 25 incidents of water entering buildings and houses.,The Indian Express,fire,2024-07-25T18:32:11Z
World News Briefs: From Hurricanes to International Conflicts,"Summarizing current world news briefs: Hurricane Ernesto intensifies, Russia launches ballistic missile on Kyiv, Pro-Palestinian delegates push for Israel arms embargo at Democratic convention, Hamas rejects Gaza ceasefire proposal, and protests erupt over Indian doctor's rape and murder. Additionally, geopolitical conflicts in Ukraine and Sudan are highlighted.",Devdiscourse,hurricane,2024-08-18T23:53:51Z
"Barbados PM expects airport to open in a few hours, Team India likely to arrive in Delhi on July 3","Barbados's category four hurricane has witnessed a lockdown-like situation on the Caribbean island since Sunday, June 30 evening. The lockdown has meant that the travel and flights have been cancelled and the Indian team is still stranded more than 48 hours after their T20 World Cup win.",India TV News,hurricane,2024-07-02T04:40:09Z
Young Indian squad leaves for India vs Zimbabwe T20I tour; BCCI shares fresh pictures of team,The BCCI has shared pictures of young Team India leaving for Zimbabwe for a five-match T20I series starting on July 6. Key players are missing due to Hurricane Beryl in Barbados. A new team has been selected based on IPL 2024 performances to carry forward India's legacy.,Livemint,hurricane,2024-07-01T18:30:00Z
Team India may take a chartered flight out of hurricane-hit Barbados today,The T20 World Cup-winning Indian cricket team may fly home after being stranded in Barbados for two days due to Hurricane Beryl.,THE WEEK,hurricane,2024-07-01T18:30:00Z
"Team India stranded in Barbados due to Hurricane Beryl: What are hurricanes, their types?","The Indian Men's cricket team remains stranded in Barbados following the T20 World Cup win due to Hurricane Beryl, currently surging through the Windward Islands.",The Indian Express,hurricane,2024-07-01T13:36:15Z
"Team India forced to stay back in Barbados due to Hurricane Beryl, services affected at team hotel",The Indian cricket team is currently stuck in the Hotel Hilton in Barbados as the airport has been shut down due to the Hurricane Beryl.,Firstpost,hurricane,2024-07-01T03:50:28Z
Hurricane disrupts India cricket team's return plans; World Cup heroes to take charter flight home,Indian cricket team defeated South Africa to clinch the T20 World Cup 2024 title in Barbados on Saturday and were supposed to travel to New York to take a flight back home on Sunday. The Indian team was expected to arrive in Mumbai on July 2 but now will take a direct flight to New Delhi.,India TV News,hurricane,2024-06-30T18:02:38Z
"Indian-origin software engineer, daughter killed in US flood","Hurricane Ida, which made landfall on August 29 in Port Fourchon, Louisiana, is the second-most destructive hurricane to hit the state on record, only after Hurricane Katrina (2005).",The Indian Express,hurricane,2021-09-05T12:37:44Z
Hurricane Ida: Two Indian-origin Persons Swept Away By Flash Floods in US,"At least two Indian-origin persons have been killed in the US state of New Jersey after they were swept away by flash floods caused by Hurricane Ida, according to a media report on Sunday.",News18,hurricane,2021-09-05T12:37:21Z
"Art, sport, passion-Indian breakdancers battled parents & poverty. Going to Paris Olympics next","'Breaking is being launched in the Olympics in 2024, but we have been breaking our bones for 15 years for it,' says Ramesh ‘Tornado’ Yadav.",ThePrint,tornado,2023-06-11T03:34:17Z
"April 14, 1983, Forty Years Ago: Calcutta Tornado","This is the front page of The Indian Express published on April 14, 1983.",The Indian Express,tornado,2023-04-13T21:30:29Z
'This is a tornado'-Hindu American Foundation wants people to care about Hinduphobia,"Hindu American Foundation's lecture on ""Rising Hinduphobia” addressed the experiences of Indian Hindu in the US who feel discriminated against because of their religion.",ThePrint,tornado,2023-02-02T11:01:56Z
"Russian helicopter, which went missing with 22 people on board, crashes; 17 bodies recovered",The Mi-8T helicopter took off from a base near the Vachkazhets volcano and the crew failed to report at the scheduled time of 04:00 GMT (9:30 am Indian time).,India TV News,volcano,2024-09-01T10:19:14Z
Tsunami warning US West Coast undersea volcano erupts Tonga Pacific,"tonga, movies telugu movies, hdfc bank q3 net profit, oneplus 9rt 5g specifications, covid 19 omicron symptoms, tsunami warning tonga volcano eruption, punjab election congress candidate list, ibps clerk result 2021 prelims result, combat uniform indian army, tonga island, rrb ntpc ntpc result 2021",India TV News,volcano,2022-01-14T18:30:00Z
Did You Know India Has an Active Volcano? It's Located in Andaman's Barren Island,"Barren Island is a 3-km-wide island, which hosts a 2-km-wide caldera surrounded by walls as high as 250 to 350 metres. About 99% of the volcano lies beneath the surface of the Indian ocean.",News18,volcano,2021-11-07T06:59:38Z
Disturbances from large volcanic eruptions may help better understand Indian monsoon: Study,Tiny particles and gases that a large volcano blasts into the air enter into the stratosphere and remain there for a few years.,Firstpost,volcano,2020-09-21T06:11:38Z
